Class,Requirement
COM,AUTOSAR COM and LargeDataCOM shall only support dynamic length signals of type UINT8[n].
COM,AUTOSAR COM and LargeDataCOM shall use the TP to fragment and reassemble large signals
COM,AUTOSAR COM and LargeDataCOM shall support dynamical signals with a static maximum length
COM,AUTOSAR COM module shall be based on the functionality and APIs of [DOC_ISO_COM]
COM,The AUTOSAR COM module shall support endianness conversion
COM,The AUTOSAR COM module shall support sign extension
COM,The AUTOSAR COM module shall fill unused areas/ bits within an I-PDU with a configurable value
COM,The AUTOSAR COM module shall support multiple transmission modes
COM,The AUTOSAR COM module shall support defining two different transmission modes for each I-PDU
COM,The AUTOSAR COM module shall support a configurable signal data based selection mechanism of the two transmission modes
COM,AUTOSAR COM shall support signal data based transmission modes for configured serialized data
COM,The AUTOSAR COM module shall cancel outstanding repetitions in case of a new send request
COM,The AUTOSAR COM module shall support immediate and deferred signal based notification to the RTE
COM,The AUTOSAR COM module shall provide two configurable options to handle signal timeouts
COM,The AUTOSAR COM module shall support invalidation of signals at sender side
COM,The AUTOSAR COM module shall support an optional notification when receiving invalidated data
COM,The AUTOSAR COM module shall support an optional substitution of received invalidated data
COM,The AUTOSAR COM module shall support substituting the last received value by the init value in case of a signal timeout
COM,The AUTOSAR COM module shall define a data structure allowing efficiently starting and stopping of I-PDU groups
COM,The AUTOSAR COM module shall support starting and stopping multiple I-PDU groups during runtime
COM,The AUTOSAR COM module shall support enabling and disabling reception deadline monitoring of I-PDU groups
COM,The AUTOSAR module shall handle complex data types as a consistent set of data
COM,AUTOSAR COM shall provide a uint8-array based API for signal groups
COM,The AUTOSAR COM module shall cancel transmission requests in case of expired transmissions
COM,The AUTOSAR COM module shall support at most one dynamic length signal per I-PDU
COM,Dynamic length signal must be placed last in I-PDU
COM,The AUTOSAR COM module shall not support fragmentation towards the RTE
COM,The AUTOSAR COM module shall distinct normal and large signals via its configuration
COM,The AUTOSAR COM module shall support to detect if a received signal or signal group was updated by the sender
COM,The AUTOSAR COM module shall support deadline monitoring for updated signals/signal groups on receiver side
COM,The AUTOSAR COM module shall provide a mechanism to detect out of sequence received I-PDUs
COM,The AUTOSAR COM module shall support configuring the properties of the I-PDU Counter
COM,The AUTOSAR COM module shall support the incrementing and checking of the I-PDU Counter
COM,The AUTOSAR COM module shall support the detection of out of sequence I-PDUs
COM,The AUTOSAR COM module shall provide a mechanism to detect corrupted received I-PDUs and to recover from this failure mode
COM,The AUTOSAR COM module shall support the configuration of I-PDU replication mechanism
COM,The AUTOSAR COM module shall support transmission and reception of replicated I-PDUs
COM,The AUTOSAR COM module shall support the detection of failures when receiving replicated I-PDUs
COM,Support of Large Data COM
COM,Large Data COM shall support Transport Protocol-like communication
COM,Large Data COM shall support Interface-like communication
COM,Large Data COM shall support Transmission Triggered by lower layer
Crypto,Some crypto services shall allow synchronous job processing.
Crypto,Some crypto services shall allow asynchronous job processing.
Crypto,The crypto stack shall be able to incorporate modules of a crypto library.
Crypto,The Crypto Stack shall provide scalability for the cryptographic features
Crypto,The Crypto Stack shall allow static configuration of keys used for cryptographic jobs
Crypto,The Crypto Stack shall only allow unique key identifiers
Crypto,The modules of the crypto stack shall support only pre-compile time configuration
Crypto,The configuration files of the crypto stack modules shall be readable for human beings
Crypto,The Crypto Stack shall support reentrancy for all crypto services
Crypto,The Crypto Stack shall conceal symmetric keys from the users of crypto services
Crypto,The Crypto Stack shall conceal asymmetric private keys from the users of Crypto services
Crypto,The Crypto Stack shall identify random number generation as a cryptographic primitive which can be requested to a driver
Crypto,The Crypto Stack shall identify symmetric encryption/decryption as a cryptographic primitive which can be requested to a driver
Crypto,The Crypto Stack shall identify asymmetric encryption/decryption as a cryptographic primitive which can be requested to a driver
Crypto,The Crypto Stack shall provide an interface for the derivation of symmetric keys
Crypto,The Crypto Stack shall provide an interface for key exchange mechanisms
Crypto,The Crypto Stack shall provide an interface for key wrapping/extraction mechanisms
Crypto,The Crypto Stack shall provide an interface for parsing certificates
Crypto,The Crypto Stack shall support detection of invalid keys
Crypto,Key manager operation shall either run synchronously or asynchronously.
Crypto,Key manager shall provide interfaces to generate or update key material.
Crypto,Key manager shall be able to negotiate a shared secret by exchanging messages with other ECUs
Crypto,Key manager shall be able to manage derivation of key material from a common secret
Crypto,The KeyM module shall support on-board generated keys
Crypto,The KeyM module shall support verification of certificates based on configured rules
Crypto,The KeyM module shall support retrieving arbitrary elements of a certificate
Crypto,AUTOSAR certificate handler shall support the certificate formats CVC and X.509.
Crypto,Keys in the crypto stack can be uniquely identified
Crypto,Crypto driver shall place keys into specific key slots
Crypto,KeyM shall be highly configurable to support different OEM use cases
Crypto,Keys shall use a default value if configured
Crypto,Keys shall not be used if they are empty or corrupted
Crypto,Key material shall be securely stored either in NVM or CSM
Crypto,The KeyM shall provide interfaces for providing a proof for correctly programmed keys. A verification function can be used to provide a proof to the key server if the correct key is programmed and associated with a specific job.
Crypto,Keys may be temporarily stored in RAM. A shutdown operation may cleanup these keys by removing the key data from RAM. 
Crypto,The KeyM shall use the interfaces provided by the security event memory for secure logging of security related events which are produced by KeyM.
Crypto,Each primitive of the CRYIF shall belong to exactly one service of the CSM
Crypto,The job processing mode (synchronous or asynchronous) of a CSM service shall be defined by static configuration
Crypto,The priority of a user and its crypto jobs shall be defined by static configuration
Crypto,The set of cryptographic services provided by the CSM shall be defined by static configuration
Crypto,The CSM module specification shall specify which other modules are required
Crypto,"The CSM module specification shall specify the interface and behavior of the callback function, if the asynchronous job processing mode is selected"
Crypto,The CSM module shall use the streaming approach for some selected services
Crypto,The CSM module shall distinguish between error types
Crypto,The CSM module shall report detected development errors to the Default Error Tracer
Crypto,The CSM module shall not return specific development error codes via the API
Crypto,The CSM shall check passed API parameters for validity
Crypto,The Crypto Interface shall have an interface to the static configuration information of the Crypto Driver
Crypto,Channels mapped to different Crypto Driver Objects shall be uniquely configurable in Crypto Interface
Crypto,The Crypto Interface shall report detected development errors to the Default Error Tracer
Crypto,The Crypto Driver shall allow static configuration of Crypto Driver Objects
Crypto,Crypto Interface keys mapped to different Crypto Driver Keys shall be uniquely configurable in the Crypto Interface
Crypto,The Crypto Driver shall provide access to all cryptographic algorithms supported by the hardware
Crypto,The security event memory (SEM) shall enable to log security events (SE) which are monitored by BSW modules or SWCs. It shall be possible to store the type of the security event along with data which is useful for forensic analysis. 
Crypto,Depending on the type of security event the number of storable snap shots and the properties of the snap shots shall be configurable. 
Memory,The MemAcc module shall allow the configuration of the non-contiguous physical memory areas of different memory devices to a logical address area.
Memory,The MemAcc module shall allow the configuration of the priority for different logical address areas.
Memory,The MemAcc module shall support variant mapping.
Memory,The Mem driver shall be statically configurable.
Memory,The FEE and EA modules shall allow the configuration of the alignment of the start and end addresses of logical blocks.
Memory,The FEE and EA modules shall allow the configuration of a required number of write cycles for each logical block.
Memory,The block numbers 0x0000 and 0xFFFF shall not be used.
Memory,The MemAcc module and Mem driver shall provide an interface for initialization.
Memory,The MemAcc module and Mem driver shall provide asynchronous memory access functions.
Memory,The MemAcc module and Mem driver shall support optional services.
Memory,The MemAcc module and Mem driver shall provide asynchronous status function.
Memory,The MemAcc module shall provide a job notification mechanism for the upper layer modules.
Memory,The MemAcc module shall support multiple Mem drivers for different types of memory.
Memory,The Mem driver shall support multiple instances of the same memory device.
Memory,The MemAcc module shall manage the memory job requests from different upper layer modules.
Memory,The MemAcc module and Mem driver shall provide measures for dynamic driver activation.
Memory,The MemAcc module and Mem driver shall provide support for 64-bit address range.
Memory,The MemAcc module shall provide optional support for the initialization and main function triggering of memory drivers.
Memory,Memory drivers shall operate on physical segmentation/physical addresses.
Memory,Memory drivers shall use a standard binary format for dynamic driver activation.
Memory,Memory drivers shall handle only one job at one time.
Memory,Memory drivers shall not buffer data.
Memory,The Mem driver shall support multi-core type II requirements.
Memory,Memory drivers shall provide a function to handle system ECC errors and propagate them.
Memory,MemAcc module shall provide a function to retrieve memory segmentation information.
Memory,MemAcc module shall provide a lock function to enable/disable the direct memory access from application.
Memory,MemAcc module and Mem driver shall provide a generic function to access the hardware-specific functionalities.
Memory,The FEE and EA modules shall provide upper layer modules with a virtual 32-bit address space.
Memory,The start address for a block erase or write operation shall always be aligned to the virtual 64K boundary.
Memory,The start address and length for reading a block shall not be limited to a certain alignment.
Memory,The FEE and EA modules shall provide a conversion between the logical linear addresses and the physical memory addresses.
Memory,The FEE and EA modules shall provide a write service that operates only on complete configured logical blocks.
Memory,The FEE and EA modules shall provide a read service that allows reading all or part of a logical block.
Memory,The FEE and EA modules shall provide a service that allows canceling an ongoing asynchronous operation.
Memory,The FEE and EA modules shall provide a service to invalidate a logical block.
Memory,"If the configured number of write cycles for a logical block exceeds the number provided by the underlying physical device, the FEE or EA module has to provide sufficient mechanisms to spread the write requests for that logical block over a bigger memory area."
Memory,Writing of immediate data shall not be delayed by internal management operations nor by erasing the memory area to be written to.
Memory,The FEE and EA modules shall provide an erase service that operates only on complete logical blocks containing immediate data.
Memory,The FEE and EA modules shall detect possible data inconsistencies due to aborted/interrupted write operations.
Memory,The FEE and EA modules shall report possible data inconsistencies.
Memory,The FEE and EA modules shall not return inconsistent data to the caller.
Memory,The Memory Abstraction Interface shall provide uniform access to the API services of the underlying memory abstraction modules.
Memory,The Memory Abstraction Interface shall allow the selection of an underlying memory abstraction module by using a device index
Memory,The Memory Abstraction Interface shall allow the pre compile time configuration of the number of underlying memory abstraction modules
Memory,The Memory Abstraction Interface shall preserve the functionality of the underlying memory abstraction module
Memory, The Memory Abstraction Interface shall only check those parameters that are used within the interface itself
Memory, Each application shall be enabled to declare the memory requirements at configuration time
Memory,The NVRAM manager shall support two classes of RAM data blocks.
Memory,The NVRAM manager shall allow the configuration of native block management types.
Memory,The NVRAM manager shall allow the configuration of dataset block management type.
Memory,The priority of each NVRAM block shall be statically configurable in different levels.
Memory,The NVRAM Manager shall allow a static configuration of a default write protection (on/off) for each NVRAM block.
Memory,The NVRAM manager shall have a unique configuration identifier.
Memory,The NVRAM manager shall provide functionality to automatically initialize RAM data blocks after a software update.
Memory,"For each block, a notification shall be configurable."
Memory,The NVRAM manager shall be able to access multiple non-volatile memory devices.
Memory,The NVRAM manager shall have a configurable consistency check for each block.
Memory,The maximum number of retries in case of an error shall be separately configurable.
Memory,The NVRAM manager shall provide a configurable verification of the unique block identifier.
Memory,The NVRAM manager shall provide a configurable write verification of data.
Memory,It shall be statically configurable which blocks are loaded automatically during startup of the NVRAM manager.
Memory,It shall be possible to protect permanent RAM data blocks against data loss due to reset.
Memory,Each NVRAM block shall be configurable for shared access.
Memory,The NVRAM manager shall provide a service to check and load those NVRAM blocks configured to have a permanent RAM data block to RAM.
Memory,The NVRAM manager shall provide an implicit way of accessing blocks in the NVRAM and in the shared memory (RAM).
Memory,The NVRAM manager shall allow non-continuous RAM block allocation in the global RAM area.
Memory,"The NVRAM manager shall provide a mechanism to handle multiple, concurrent read/write requests."
Memory,The NVRAM manager shall provide functionality to read out data associated with an NVRAM block from the non-volatile memory.
Memory,The NVRAM manager shall provide functionality to store data associated with an NVRAM block in the non-volatile memory.
Memory,The NVRAM manager shall retry read and write operations on NVRAM blocks if they have not succeeded up to a configurable number of times.
Memory,The NVRAM manager shall guarantee that an accepted write request will be processed.
Memory,The NVRAM manager shall provide functionality to restore an NVRAM block’s associated data from ROM defaults.
Memory,The NVRAM Manager shall request default data from the application.
Memory,The NVRAM Manager shall be able to distinguish between explicitly invalidated and inconsistent data.
Memory,The NVRAM Manager shall provide a service for marking permanent RAM data blocks as modified/unmodified.
Memory,The NVRAM Manager shall provide a service for marking the permanent RAM data block of an NVRAM block valid.
Memory,The NVRAM manager shall provide a service to invalidate a block of data in the non-volatile memory.
Memory,The NVRAM manager shall retry read and write operations on NVRAM blocks if they have not succeeded up to a configurable number of times.
Memory,The NVRAM manager shall guarantee that an accepted write request will be processed.
Memory,The NVRAM manager shall provide functionality to restore an NVRAM block’s associated data from ROM defaults.
Memory,The NVRAM Manager shall request default data from the application.
Memory,The NVRAM Manager shall be able to distinguish between explicitly invalidated and inconsistent data.
Memory,The NVRAM Manager shall provide a service for marking permanent RAM data blocks as modified/unmodified.
Memory,The NVRAM Manager shall provide a service for marking the permanent RAM data block of an NVRAM block valid.
Memory,The NVRAM manager shall provide a service to invalidate a block of data in the non-volatile memory.
Memory,The NVRAM manager shall provide a service to erase the NV block(s) associated with an NVRAM block.
Memory,The NVRAM manager shall provide a service for the selection of valid dataset NV blocks.
Memory,The NVRAM manager shall provide prioritization for job processing order.
Memory,The NVRAM manager shall provide functionality to read out the status of read/write operations.
Memory,The NVRAM manager shall implement mechanisms for consistency/integrity checks of data saved in NVRAM.
Memory,The NVRAM manager shall provide mechanisms for static verification of the block identifier when reading an NVRAM block
Memory,The NVRAM manager shall provide a mechanism for verifica tion of the written block data by again reading and comparing it
Memory,Write accesses of the NVRAM manager to persistent memory shall be executed quasi-parallel to normal operation of the ECU.
Memory,The NVRAM manager shall provide a mechanism to remove all unprocessed requests associated with an NVRAM block.
Memory,The NVRAM manager shall provide functionality for determining updates of data associated with an NVRAM Block during runtime.
Memory,The NVRAM manager shall provide a function which triggers first or re-initialization of selected blocks both in RAM and on NV memory.
Memory,Larger blocks with delta update only on the changed fragments shall be supported.
Memory,The NVRAM manager shall provide a function which triggers update of integrity information and saving of RAM data blocks to NV memory.
Memory,The NVRAM manager shall provide a function for aborting the shutdown process.
Memory,The NVRAM manager shall provide a service for auto-validating NVRAM blocks.
Memory,Treatable errors shall not affect other software components.
Memory,The NVRAM manager shall repair data in blocks of management type 'NVRAM redundant'.
Memory,The NVRAM manager shall copy the ROM default data to the data area of the corresponding RAM block if it cannot read data from NV into RAM.
Memory,Some of the NV Blocks in the NVRAM shall never be erased nor replaced with the default ROM data after first initialization.
Memory,Flash driver shall be statically configurable.
Memory,Flash memory properties shall be published.
Memory,The flash driver shall provide an asynchronous read function.
Memory,The flash driver shall provide an asynchronous write function.
Memory,The flash driver shall provide an asynchronous erase function.
Memory,The flash driver shall provide an asynchronous compare function.
Memory,The flash driver shall provide a synchronous cancel function.
Memory,The flash driver shall provide a synchronous status function.
Memory,The flash driver shall provide a synchronous selection function.
Memory,The write and erase functions of the Flash driver shall check the passed address parameters.
Memory,"Before writing, the flash driver shall verify if the addressed memory area has been erased."
Memory,The flash driver shall verify written data.
Memory,"After execution of an erase job, the flash driver shall verify that the addressed block has been erased completely."
Memory,The flash driver shall handle only one job at one time.
Memory,The flash driver shall provide a function that has to be called for job processing.
Memory,"In normal mode, one cycle of the job processing function of the flash driver shall limit the block size to the default block size."
Memory,"In fast mode, one cycle of the job processing function of the flash driver shall limit the block size to the maximum block size."
Memory,The flash driver shall load the code that accesses the flash hardware to RAM whenever an erase or write job is started.
Memory,The flash driver shall execute the code that accesses the flash hardware from RAM.
Memory,The flash driver shall remove the code that accesses the flash hardware from RAM after the current job has been finished or canceled.
Memory,The same requirements shall apply for an external and internal flash driver.
Memory,The external flash driver shall allow the static configuration of the hardware flash ID and the suspend time
Memory,The external flash driver shall check if the configured flash type matches with the hardware flash ID
Libraries,The functional behavior of each library functions shall not be configurable
Libraries,It shall be possible to configure the microcontroller so that the library code is shared between all callers
Libraries,A library shall be operational before all BSW modules and application SW-Cs
Libraries,Using libraries shall not pass through a port interface
Libraries,Each library shall provide one header file with its public interface
Libraries,"All library functions shall be re-entrant, which means that they shall be able to handle several simultaneous, interleaved or/and concurrent requests."
Libraries,A library shall define its own specific types in the library header file if and only if they are not yet defined by AUTOSAR
Libraries,"All function names and type names shall start with ""Library short name_"""
Libraries,Passing parameters with structure shall be allowed
Libraries,A library shall be operational until the shutdown
Libraries,"The error cases, resulting in the check at runtime of the value of input parameters, shall be listed in SWS"
Libraries,The CRC library shall support the standard generator polynomials
IO,The IO Hardware Abstraction modules shall provide values within one static range for each Signal.
IO,The IO Hardware Abstraction modules shall provide a service to read an input voltage with specific attributes.
IO,The IO Hardware Abstraction modules shall provide a service to read an output voltage with specific attributes.
IO,The IO Hardware Abstraction modules shall provide a service to read an input current with specific attributes.
IO,The IO Hardware Abstraction module shall provide a ser vice to measure a connected resistance using specific attributes
IO,The IO Hardware Abstraction modules shall provide a service to get/read a discrete input with specific attributes.
IO,The IO Hardware Abstraction modules shall offer a service to get/read simultaneously several discrete inputs.
IO,The IO Hardware Abstraction modules shall provide a mechanism to report to the Signal Client when a discrete input changes.
IO,The IO Hardware Abstraction modules shall provide a service to monitor hardware failure and to set a status.
IO,The IO Hardware Abstraction modules shall provide a service to control a discrete powered output with specific attributes.
IO,The IO Hardware Abstraction modules shall offer a service to update simultaneously several discrete outputs.
IO,The IO Hardware Abstraction modules shall provide a service to measure the period time between two falling or rising edges on a Signal.
IO,The IO Hardware Abstraction modules shall provide a service to control the ratio between the active level and the inactive level of a periodic output signal.
IO,The IO Hardware Abstraction modules shall provide a service to measure the ratio between the active level and the inactive level of a periodic input signal.
IO,The IO Hardware Abstraction shall provide synchronous signal access functions.
IO,The I/O Hardware Abstraction shall provide an interface to the DCM that allows control and reading of the configured signals.
IO,The IO Hardware Abstraction shall allow configuring a unique Symbolic Name statically for each Signal.
IO,The IO Hardware Abstraction modules shall be independent of the physical level.
IO,The IO Hardware Abstraction shall be able to handle more than one electrical signal simultaneously.
IO,The IO Hardware Abstraction shall hide any communica tion over ECU internal onboard peripherals to access Signals
IO,"The IO Hardware Abstraction shall detect a failure short circuit to the ground, according to the hardware capabilities"
IO,"The IO Hardware Abstraction shall detect a failure short circuit to +UBat, according to the hardware capabilities."
IO,"The IO Hardware Abstraction shall detect an open circuit, according to the hardware capabilities."
IO,The IO Hardware Abstraction shall detect a failure overload.
IO,The IO Hardware Abstraction shall detect an overtemperature.
IO,The IO Hardware Abstraction module shall keep the ECU hardware safe
IO,The IO Hardware Abstraction module shall not decide on its own to switch an output on again that has been switched off for hardware protection reasons
IO,The IO Hardware Abstraction module shall offer an interface to trigger an output after an output has been cut off.
IO,Encapsulation of power state preparation shall be available.
IO,Encapsulation of power state setting shall be available.
IO,Callback notification for each power state preparation completion shall be provided
